id,setor,tombo,descricao,
uGdKwKmOcG,1116,5721,ARMÁRIO ALTO EM MDF COM 2 PORTAS DE CORRER,
uGmPLWNHzy,1104,10312,APARELHO DE AR CONDICIONADO TIPO SPLIT,
uGn4gohtEI,112303,14202,CADEIRA FIXA EMPILHÁVEL,
uGsaZ89MTB,110409,326223,AIR SPLIT DE 12.000 BTUS,
uGxue4qNEt,1115,5744,ARMÁRIO ALTO EM MDF COM 2 PORTAS DE CORRER,
uH4yIZZP0y,111103,15276,TÁBUA PASSAR ROUPA,
uH87U2b9Mx,110409,208859,CARTEIRA ESCOLAR UNIVERSITARIA DE,
uHB0p5h9UD,110102,4010,APOIO PARA OS PÉS VEM COM REGULAGEM DE,
uHD1NL3zgG,111604,7449,COMPUTADOR DELL OPTIPLEX 7060,
uHHeosTjyb,1164,2609,CADEIRA FIXA AZUL ROYAL,
uHa2q7iqvG,110409,300356,REOMETRO,
uHfbf2TZBd,1115,6363,CADEIRA DE GIRATÓRIA SEM BRAÇO MARTIFLEX,
uHgNUmVmwq,110409,319387,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
uHhBYla0OH,1113,15007,CADEIRA FIXA EMPILHÁVEL,
uHr03mAHdS,111609,15478,TORNO DE BANCADA 06 FORJADO,
uHusaEuqmR,1113,8342,ARMÁRIO ALTO 800X500X1600 MM,
uHvw0yDO2e,110409,1875,CADEIRA SECRETARIA OPERACIONAL COM BRAÇOS,
uHxXi5Prpq,110409,244731,APARELHO TELEFONICO,
uI72qReEin,110409,248026,CARTEIRA ESCOLAR UNIVERSITARIA COM ASSENTO E,
uIFmkS3SWl,1164,1412,CADEIRA COMUM,
uIL6zKXxrE,1164,12212,MESA DE TRABALHO RETA FORTILINE 80X60,
uIRcw1tQ80,116301,10541,APARELHO TELEFONICO IP SIP T21,
uIUTxUJiJj,1114,3034,CARTEIRA ESCOLAR PARA DESTRO,
uIbBkks7nO,1117,8194,MESA ESCRITÓRIO 1200X600X740MM,
uJ4y7Kshr3,1113,15561,MICROCOMPUTADOR DELL OPTIPLEX 3080,
uJGpnjkEiW,1123,13829,VENTILADOR OSC PAREDE 60CM,
uJLKauyG0Q,1164,2405,CADEIRA FIXA AZUL ROYAL,
uJbJvjWV0m,110409,291497,ILHA ESTAÇÃO DE TRABALHO EM MADEIRA,
uJbLtlopGS,1110,12252,MESA DE TRABALHO RETA FORTILINE 80X60,
